text,tag,source,doc_id
비면허대역 Massive IoT 네트워크 시스템 기술,기술명,etri,1
"비면허대역을 사용하는 Massive IoT 네트워크의 대표적인 적용 사례로는 다양한 유형의 데이터가 공존하는 스마트시티의 초대규모 (Massive) IoT 데이터(교통, 환경, 에너지, 안전 등)의 처리가 있다. 스마트시티를 위한 Massive IoT 네트워크는 스마트시티의 고신뢰, 실시간 및 안전우선 등 인프라의 서비스 특성에 따라 다양한 물리적 통신환경에 대한 안정적 매체접속을 제공함으로써, 스마트시티 데이터 간의 신뢰성 있는 연결성을 제공하는 것을 목표로 한다.",기술개요,etri,1
Massive IoT 네트워크 시스템은 비면허대역을 이용하고자 하는 사용자들에게 편리한 연결성을 제공해준다.,기술의필요성,etri,1
"Massive IoT 단말과 Massive IoT RF게이트웨이를 비면허대역(900MHz) 저전력 무선 연결하고, Massive IoT RF게이트웨이와 Massive IoT제어기를 유무선 인터넷 망으로 연결하는 것으로 망을 구성하며, Massive IoT 단말의 데이터 발생이 간헐적인 응용, Massive IoT 시스템의 관리자가 Massive IoT 단말이 설치된 현장 방문을 최소로 하고 싶은 응용에 적합하다.",기술의필요성,etri,1
Massive IoT 네트워크 시스템 기술 개발 : 다양한 적용환경 및 서비스 특성이 조합된 초대규모 데이터를 안정적으로 수집 및 관리할 수 있는 스마트시티에 특화된 Massive IoT 기술이 필요,기술의필요성,etri,1
"스마트시티의 고신뢰, 실시간 및 안전우선 등 특성에 따른 차별적 대규모 데이터 수집과 다양한 물리적 통신환경에 대한 안정적 매체접속 관리기술이 필요",기술의필요성,etri,1
"스마트시티의 다양한 서비스를 하나의 통합된 인프라로 적용이 가능하고, 지역과 산업특성에 따라 수시로 변화하는 상황에 적절히 대처할 수 있으며, 산업별 서비스가 요구하는 품질에 적합한 수준의 IoT 데이터 수집 및 디바이스 관리 기술이 필요",기술의필요성,etri,1
비면허대역 Massive IoT 네트워크 시스템 기술은 국내표준을 기반으로 한다.,기술의특징및장점,etri,1
차별화된 무선 채널 액세스 기반 저전력 광역 네트워크 2부: 네트워크 인터페이스(TTAK.KO-06.0509R1),기술의특징및장점,etri,1
이전 대상인 초대규모 IoT 네트워크 시스템의 물리계층 기술은 상기 표준에서 정의하는 Semtech사 LoRa 칩을 기준으로 한다.,기술의특징및장점,etri,1
"스마트시티 실증도시 적용 서비스의 예 이외에도, 대규모 디바이스로 구성되는 스마트시티 분야 (교통, 환경, 에너지, 안전 등)에 적용 가능하다.",기술의 파급효과,etri,1
스마트시티 핵심 기술에 대해 국내 표준 및 인증 적용으로 기술 개방성 및 활용성 확대를 기대할 수 있다.,기술의 파급효과,etri,1
차별화된 무선 채널 액세스 기반 저전력 광역 네트워크 3부: 시험 절차,기술의 파급효과,etri,1
비면허대역 Massive IoT 네트워크 시스템 기술,기술이전내용및범위,etri,1
". 비면허대역 Massive IoT 네트워크 시스템 구성요소(Semtech사 LoRa 칩 기반 단말, RF게이트웨이, 제어기) 기술",기술이전내용및범위,etri,1
. TTA 표준(TTAK.KO-06.0509R1) 준용 기술,기술이전내용및범위,etri,1
"* 기술이전 절차가 시작되면 내용물 구성의 변경/추가는 불가하니, 사전에 기술이전 내용 및 그 구성에 대해서 반드시 확인하시기 바랍니다.",기술이전내용및범위,etri,1
비면허대역 Massive IoT 네트워크 시스템 기술,기술이전내용및범위,etri,1
. 문서 : 시스템 요구사항 정의서/ 시스템 시험 절차서 및 결과서 / 사용자 설명서,기술이전내용및범위,etri,1
시각 인공지능 기반 휴먼 이상 행동 인식 기술,기술명,etri,2
"행동 인식 기술은 다양한 센서들에서 입력되는 휴먼의 동작과 관련된 정보를 분석하고 해석하여 휴먼이 어떤 행동을 취하고 있는지를 인식하는 기술이다. 행동 인식 기술은 지능형 CCTV, 서비스 로봇, 헬스케어, 스마트 인터랙션 등 다양한 분야에서 활용될 수 있는 파급력이 매우 큰 기술 중의 하나이다.",기술개요,etri,2
"본 이전 대상 기술은 카메라로부터 획득된 영상 데이터만을 분석하여 휴먼의 행동을 인식하는 영상분석 기반의 행동 인식 기술이다. 가속도 센서, 근전도 센서 등의 신체에 부착하는 센서 정보를 활용하는 기술들에 비하여 활용성이 높고 확장성이 좋다.",기술개요,etri,2
